dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples
bitbrains_fast_storage/5T/long,TTM,4529164.012994989,4529164.012994989,380.9420524424308,380.9420524424308,0.9394458164208644,3.048631886635439,0.8391820701172429,22.74414870175866,2128.183265838492,5.624153256627958,1.0067161598446797,0.936580219208045,Web/CloudOps,2,720,1536,7200,True,1024165,50000
bitbrains_fast_storage/5T/medium,TTM,3249127.037854915,3249127.037854915,292.2069576886881,292.2069576886881,1.068926268149068,3.625343013166696,0.8301840716269131,29.18423143146788,1802.533505334898,5.476594260946222,0.8878053821191525,0.826709846974402,Web/CloudOps,2,480,1536,7680,True,1245773,50000
bitbrains_fast_storage/5T/short,TTM,2188035.3089685044,2188035.3089685044,179.84600146677184,179.84600146677184,0.7361521349445582,2.4303922735853773,0.7435961398563781,19.923774370529102,1479.200902165931,4.6443268731817,0.564672193224979,0.5632991082577066,Web/CloudOps,2,48,1536,7776,True,1485084,50000
bitbrains_fast_storage/H/short,TTM,4344492.392656429,4344492.392656429,404.63607039880026,404.63607039880026,1.203414758921277,5.71502528939867,0.6278372787609021,30.39962961492866,2084.3445954679446,5.941059081247001,1.153344224304327,1.0296736576079033,Web/CloudOps,2,48,512,625,True,7460,24842
bitbrains_rnd/5T/long,TTM,2520869.066531096,2520869.066531096,208.53265792401265,208.53265792401265,3.5032975288077983,2.470789267306167,0.7526276027151398,124.19434503556668,1587.7244932705094,6.0822145584442655,0.7988415958261679,0.7619744795916943,Web/CloudOps,2,720,1536,7200,True,386117,50000
bitbrains_rnd/5T/medium,TTM,2581120.5718967826,2581120.5718967826,189.13196051911396,189.13196051911396,4.529739862550385,1.8597838592086184,0.755947169280326,166.9955513472105,1606.586621348747,6.759728977156079,0.795774580118248,0.7830223720104336,Web/CloudOps,2,480,1536,7680,True,470991,50000
bitbrains_rnd/5T/short,TTM,1405960.4180228312,1405960.4180228312,113.64165808495376,113.64165808495376,1.752523322122541,1.2208038790000864,0.6699318741274589,59.85162637591433,1185.7320177944218,4.851673710598114,0.4649889154423941,0.4672911821190151,Web/CloudOps,2,48,1536,7776,True,567101,50000
bitbrains_rnd/H/short,TTM,1935735.4710476396,1935735.4710476396,220.11680854703272,220.11680854703272,6.063022334614292,4.07971041973791,0.6767789985993902,220.39908083295688,1391.3071088180493,6.0890411810833,0.9633389374615716,0.892160566815821,Web/CloudOps,2,48,512,624,True,2352,7411
bizitobs_application/10S/long,TTM,7161095.623435257,7161095.623435257,1605.0678208584256,1605.0678208584256,3.805221051216473,0.0547638732332978,0.0557829134301814,82.12953432503635,2676.0223510716905,0.1032034857138036,0.0619010502110752,0.0576616997186825,Web/CloudOps,2,900,1536,7934,True,956,3824
bizitobs_application/10S/medium,TTM,5597720.431698502,5597720.431698502,1338.1251528501512,1338.1251528501512,3.0532961256965945,0.0437932691255441,0.0447142822820668,63.03790058416509,2365.9502175021566,0.0929039016337513,0.0525442364147822,0.048599971547467,Web/CloudOps,2,600,1536,7634,True,980,3920
bizitobs_application/10S/short,TTM,1418764.1740745015,1418764.1740745015,661.7335265350342,661.7335265350342,1.6460449758139195,0.0245918127768868,0.024773967570927,24.83854327791876,1191.1188748712286,0.0459366939655734,0.0255204170939578,0.0222384547406303,Web/CloudOps,2,60,1536,7934,True,1256,5024
bizitobs_l2c/5T/long,TTM,62.470369355733006,62.470369355733006,5.093444598731659,5.093444598731659,0.505296526133817,0.417843424682201,0.7001290646917994,6.488885809375362,7.903819921767766,0.4437876723752507,0.2859892995054287,0.2415972766784644,Web/CloudOps,7,720,1536,28368,True,5079,20315
bizitobs_l2c/5T/medium,TTM,80.17025632731486,80.17025632731486,5.547996273981471,5.547996273981471,0.5483145095504464,0.409270507574847,0.6333780866556856,6.868300472131972,8.95378446955894,0.4711007342017006,0.2919061908299115,0.2471796327112555,Web/CloudOps,7,480,1536,28608,True,5223,20891
bizitobs_l2c/5T/short,TTM,16.205792370808222,16.205792370808222,2.397432395656194,2.397432395656194,0.2468623680809994,0.1341035048011359,0.1950921500155867,3.376331746948789,4.0256418582392826,0.1382568359804648,0.0823375325408267,0.0689155581501164,Web/CloudOps,7,48,1536,31008,True,5876,23502
bizitobs_l2c/H/long,TTM,219.8848697020858,219.8848697020858,11.727490265070209,11.727490265070209,1.2040442447092374,1.8445669051373543,0.9078352233143232,37.97871558477482,14.828515424751252,0.9057685198748544,0.7163489530117676,0.6928988189299576,Web/CloudOps,7,720,1536,1944,False,0,0
bizitobs_l2c/H/medium,TTM,216.68475567478188,216.68475567478188,11.527593849096004,11.527593849096004,1.1379096971688818,1.6315930419837237,0.9159887953028948,35.764858102867805,14.720215884109235,0.891331430506784,0.6980133169723353,0.6748325382897294,Web/CloudOps,7,480,1536,2184,False,0,0
bizitobs_l2c/H/short,TTM,78.14909774010499,78.14909774010499,5.546012105261315,5.546012105261315,0.5435152097394856,0.5780409039277786,0.6457920257724117,11.411088932758696,8.84019783376509,0.4765093531458912,0.2989442872786705,0.2687340421215659,Web/CloudOps,7,48,1536,2376,True,671,75
bizitobs_service/10S/long,TTM,134693.30318441408,134693.30318441408,82.81125770993333,82.81125770993333,1.484405498580213,0.1014633370096811,0.0971758845204192,30.252642482619773,367.0058626022397,0.2718896758982561,0.0613492271208839,0.0585457023184435,Web/CloudOps,2,900,1536,7935,True,20097,50000
bizitobs_service/10S/medium,TTM,75657.24127704305,75657.24127704305,59.6229792909407,59.6229792909407,1.2581486734750804,0.0945603257995074,0.0848820626135408,23.058280622353003,275.0586142571126,0.2070155701454109,0.0448736538756228,0.0425885641088247,Web/CloudOps,2,600,1536,7635,True,20601,50000
bizitobs_service/10S/short,TTM,4588.52369820641,4588.52369820641,22.126349300283287,22.126349300283287,0.8004796284569702,0.096575100262483,0.0665724585406827,12.107727473424148,67.73864257723511,0.050182951971187,0.0163919069232571,0.0141385329491915,Web/CloudOps,2,60,1536,7935,True,26397,50000
car_parts/M/short,TTM,1.4442935107115205,1.4442935107115205,0.4419399650181421,0.4419399650181421,0.8386547466107044,0.9717486638081546,1.970092511174389,25.378073970389792,1.2017876312857945,2.8817634599197754,1.0597267017176029,1.1033172198674626,Sales,1,12,52,39,True,3208,2140
covid_deaths/D/short,TTM,439736.681305744,439736.681305744,106.70256081814183,106.70256081814183,30.802133756496268,0.0806300350729297,0.3542695231529109,1014.124711888012,663.1264444325411,0.2495045518621446,0.0401473577822035,0.0363315475135989,Healthcare,1,30,90,182,True,2021,7023
electricity/15T/long,TTM,336562.8387956083,336562.8387956083,58.3607436575558,58.3607436575558,0.8690734747097738,0.1351603997323847,0.1337067624815786,9.353249350887372,580.1403612882044,0.9152424493425534,0.092071218509927,0.0777052617484491,Energy,1,720,1536,125856,True,7102180,50000
electricity/15T/medium,TTM,257127.67912482997,257127.67912482997,52.780662473620765,52.780662473620765,0.8218928213652269,0.1292499070553392,0.1317834832847808,8.880300417609902,507.07758688866335,0.8737458254333293,0.0909464048350009,0.0770630364608743,Energy,1,480,1536,130656,True,7492631,50000
electricity/15T/short,TTM,119705.58448301347,119705.58448301347,48.59937561734672,48.59937561734672,0.9094568181618008,0.1622210466267415,0.1579737777074153,12.972320920478412,345.9849483474873,0.6820045203734956,0.0957989473723318,0.0820100155145277,Energy,1,48,1536,139296,True,8195927,50000
electricity/D/short,TTM,1333267777.0619736,1333267777.0619736,4365.374888445959,4365.374888445959,1.450006078761732,0.4880746608626539,0.1014148504567703,14.55150844560079,36513.93948976163,0.6000453116959725,0.0717376095872044,0.0582507098177698,Energy,1,30,512,1311,True,37250,50000
electricity/H/long,TTM,7549380.474011288,7549380.474011288,269.6763688776685,269.6763688776685,1.190830614263655,0.3098392198442808,0.145400840191354,13.022997488151796,2747.613596197851,1.0836581128813445,0.1063602922154211,0.0900480630201141,Energy,1,720,1536,31464,True,1616854,50000
electricity/H/medium,TTM,5275819.253762455,5275819.253762455,238.5704892880387,238.5704892880387,1.088301608207917,0.2620826734995694,0.134943219370252,12.41849997173217,2296.9151603318865,0.8965617038942549,0.0931219263423139,0.0783165659213535,Energy,1,480,1536,31224,True,1634614,50000
electricity/H/short,TTM,1550363.966265456,1550363.966265456,168.3150108868993,168.3150108868993,0.9007559192273588,0.2109411422281394,0.1259674011318526,12.876260896656936,1245.1361235886843,0.5877931094011524,0.079456696929613,0.0679677625145763,Energy,1,48,1536,34104,True,1905459,50000
electricity/W/short,TTM,83676432381.37059,83676432381.37059,31841.730473766234,31841.730473766234,1.5231457560796156,0.2446386554976566,0.1010386403493328,15.290630781883015,289268.78915875213,0.6600159395543558,0.072652323525113,0.0600722804856087,Energy,1,8,52,184,True,6336,23865
ett1/15T/long,TTM,8.408904252800742,8.408904252800742,1.6197972905284002,1.6197972905284002,1.0361023047005702,0.7522825031891818,0.4049011245025554,9.8933541618783,2.899811071914986,0.5527068574738195,0.3087349651373447,0.2550946917689166,Energy,7,720,1536,62480,True,11902,47604
ett1/15T/medium,TTM,10.058694688420726,10.058694688420726,1.6986942830720235,1.6986942830720235,1.0713683105231129,0.8114314443320914,0.4105710038533517,12.230412944300484,3.1715445272643934,0.6044994512980157,0.3237727716614558,0.2724508766170448,Energy,7,480,1536,62480,True,11998,47988
ett1/15T/short,TTM,5.004888064584772,5.004888064584772,1.1054498727677302,1.1054498727677302,0.7017014643993879,0.4777680957454654,0.2379910799657742,7.613342081307175,2.237160714965461,0.4229164508205112,0.2089760175134006,0.1746602561248265,Energy,7,48,1536,68720,True,13418,50000
ett1/D/short,TTM,54233.97142442728,54233.97142442728,156.6628830936693,156.6628830936693,1.8783711731388808,1.8450246454271868,0.508047805752223,22.574287751559112,232.88188298883892,0.6116719904411642,0.4114802590064452,0.3422974262160394,Energy,7,30,90,635,True,438,49
ett1/H/long,TTM,139.26848726320068,139.26848726320068,7.233611632789431,7.233611632789431,1.3916495607179538,5716136586382.574,0.4809650992400971,11.595269783314029,11.80120702569024,0.5651342448204123,0.3464019941791932,0.2814228178365797,Energy,7,720,1536,15260,True,2458,9828
ett1/H/medium,TTM,136.2572997173227,136.2572997173227,7.035971585285318,7.035971585285318,1.283771562495028,4571102978247.225,0.4501648192952452,10.948037536345415,11.672930211276118,0.5591056865366579,0.3370063602233518,0.2731913921366523,Energy,7,480,1536,15500,True,2602,10404
ett1/H/short,TTM,95.73171920645308,95.73171920645308,5.082683220785111,5.082683220785111,0.8491898994946865,0.4937908547059401,0.2673134546448237,7.777577714892671,9.784258745886326,0.4566713847309904,0.2372296200323598,0.1956015298087723,Energy,7,48,1536,16460,True,2966,11864
ett1/W/short,TTM,1897707.3115461853,1897707.3115461853,959.6023575919016,959.6023575919016,1.595421115270097,0.6961972419647289,0.541494656486197,8.944862040158123,1377.5729786643558,0.5481691677765439,0.3818486816339677,0.2826049995830222,Energy,7,8,52,87,False,0,0
ett2/15T/long,TTM,11.97367903572408,11.97367903572408,2.207197171101968,2.207197171101968,0.9292484940203256,0.1423092974325643,0.1724494061986992,7.892311541530495,3.460300425645739,0.1844056610940287,0.1176255247912391,0.0954227469331208,Energy,7,720,1536,62480,True,11902,47604
ett2/15T/medium,TTM,12.935646508019092,12.935646508019092,2.196617647839917,2.196617647839917,0.9162652491736158,0.1414128329474338,0.1675855923530771,8.743979093549168,3.5966159800594637,0.1916701632577016,0.117061722883538,0.0962783883370847,Energy,7,480,1536,62480,True,11998,47988
ett2/15T/short,TTM,7.188523605598402,7.188523605598402,1.6395947484033448,1.6395947484033448,0.7265459281883621,0.1094471765316008,0.1306025191430742,6.716443591545541,2.681142220322973,0.127283359243905,0.0778373954926955,0.0638024638580599,Energy,7,48,1536,68720,True,13418,50000
ett2/D/short,TTM,80486.69203791575,80486.69203791575,174.3293711881789,174.3293711881789,1.2063392096600205,0.3859023877112171,0.1296956176473962,12.368302311309805,283.7017660112742,0.1623699874686452,0.0997732873263698,0.084808235456253,Energy,7,30,90,635,True,438,49
ett2/H/long,TTM,219.53345370489097,219.53345370489097,9.32815616597574,9.32815616597574,1.0367416326474896,0.1799637193963178,0.1848296236470286,9.184412119810862,14.81666135486976,0.2029027735101604,0.1277419192138255,0.1047603839816333,Energy,7,720,1536,15260,True,2458,9828
ett2/H/medium,TTM,230.41130318471835,230.41130318471835,9.607191027284024,9.607191027284024,1.0297214386196107,0.1744180626803237,0.1692420850598097,8.638144380120853,15.179305095580572,0.2045508847904433,0.1294630691331125,0.1043410179800058,Energy,7,480,1536,15500,True,2602,10404
ett2/H/short,TTM,108.88921838733243,108.88921838733243,6.499234867663611,6.499234867663611,0.7490450306502651,0.1232307722858447,0.1123025814409968,5.432461711277027,10.43499968314961,0.132344830360383,0.0824283816148243,0.0660197049007416,Energy,7,48,1536,16460,True,2966,11864
ett2/W/short,TTM,3513368.864840004,3513368.864840004,1213.015591212681,1213.015591212681,0.7851441888401532,0.1410909017532056,0.1325781801190562,9.8800335042682,1874.3982674021024,0.1572332489174371,0.101753392387745,0.0938982197996595,Energy,7,8,52,87,False,0,0
hierarchical_sales/D/short,TTM,28.589752290585817,28.589752290585817,2.341005290653549,2.341005290653549,0.7558194057222575,0.6585733660409635,1.07452080262651,9.560927393298128,5.346938590500719,1.640381545792748,0.7181944981028212,0.6055440831607339,Sales,1,30,512,1615,True,24756,50000
hierarchical_sales/W/short,TTM,463.32052309393424,463.32052309393424,9.001271133453159,9.001271133453159,0.7266241501560372,0.5048170260743002,0.4627752523515008,7.757190601358129,21.52488148849917,0.9882178377396484,0.413252760586029,0.3623076482868095,Sales,1,8,52,228,True,3917,15199
hospital/M/short,TTM,2752.660356480849,2752.660356480849,17.658572890405186,17.658572890405186,0.7501570429495468,0.1900828068220556,0.1712629991642552,8.138612788254267,52.46580178059656,0.1904630437661532,0.0641047201630091,0.052531347819068,Healthcare,1,12,52,72,True,1457,77
jena_weather/10T/long,TTM,1344.6176090178942,1344.6176090178942,10.508136727662974,10.508136727662974,0.7677551680933851,1.2146917818499083,0.6768647266390039,11.17249187139836,36.66902792572901,0.2243840695695657,0.064301090482195,0.0679027734900091,Nature,21,720,1536,46944,True,8794,35176
jena_weather/10T/medium,TTM,1473.085149369133,1473.085149369133,10.877388597026956,10.877388597026956,0.7166583775400284,1.1248253065966252,0.6945346929120937,10.764682703088829,38.38079141144868,0.2355422346862938,0.0667543404779999,0.0686871603404671,Nature,21,480,1536,47424,True,8986,35944
jena_weather/10T/short,TTM,802.982970012603,802.982970012603,6.156891899193741,6.156891899193741,0.3199931574966327,0.5150276749797056,0.5486170384199108,4.096130262956272,28.33695414141405,0.1760080140858996,0.0382420182038865,0.0442038167557609,Nature,21,48,1536,51744,True,10023,40091
jena_weather/D/short,TTM,1036.6139241238948,1036.6139241238948,14.581254965796353,14.581254965796353,1.3215369857400292,0.9240619084341852,0.4991891953001095,17.070422858454698,32.1964893136487,0.1938754883899192,0.087802986850287,0.0722635366492006,Nature,21,30,90,306,True,142,16
jena_weather/H/long,TTM,13515.425531950814,13515.425531950814,34.97071057227205,34.97071057227205,1.4615745692770212,16.06791351360322,0.7508313689941326,22.280792208312736,116.2558623551983,0.6999891639203384,0.2105624435556929,0.1880689408600099,Nature,21,720,1536,7344,True,874,3496
jena_weather/H/medium,TTM,1119.0063387720384,1119.0063387720384,10.923703099323744,10.923703099323744,0.8607151865283422,3.939852283822764,0.680770148980091,8.341654481865412,33.45155211304908,0.2046959645831601,0.0668440715450054,0.0700992221744368,Nature,21,480,1536,7824,True,1066,4264
jena_weather/H/short,TTM,1076.0239644329688,1076.0239644329688,9.433530784341135,9.433530784341135,0.5795535454775498,2.3518342090449016,0.6176426567660769,6.143105874699168,32.80280421599606,0.2010790941939984,0.0578269410345568,0.0620991881611656,Nature,21,48,1536,7872,True,1249,4993
kdd_cup_2018/D/short,TTM,2848.4118769315155,2848.4118769315155,20.965047893405508,20.965047893405508,1.1973446875504572,0.540226583840539,0.4664272335270795,16.358302315991132,53.37051505214762,1.195556170868228,0.4696393197071141,0.3999446612737116,Nature,1,30,90,336,True,13457,50000
kdd_cup_2018/H/long,TTM,4001.562527207656,4001.562527207656,23.7286117764831,23.7286117764831,1.0041888350478287,1.0378465349683166,0.5983899924047913,14.338841958497513,63.25790485945338,1.4842860665155695,0.5567691170904748,0.474812103000245,Nature,1,720,1536,8064,True,348278,50000
kdd_cup_2018/H/medium,TTM,5066.420793907919,5066.420793907919,24.98807853510702,24.98807853510702,1.0300342985241164,0.9761313496635068,0.5493991600089639,15.963938101447754,71.17879455222544,1.4899010807805642,0.5230457392583302,0.4533451613555603,Nature,1,480,1536,8544,True,400118,50000
kdd_cup_2018/H/short,TTM,4237.688043314994,4237.688043314994,22.618570198048044,22.618570198048044,0.9503651163898056,0.9934963495283244,0.5026998669484174,15.846964613242552,65.09752716743543,1.362609140728582,0.4734476383841654,0.4150173649028795,Nature,1,48,1536,8544,True,446774,50000
loop_seattle/5T/long,TTM,92.0580331469956,92.0580331469956,5.515043888644893,5.515043888644893,0.8712097454636959,0.1807579260865432,0.1252468139582421,13.123989915693516,9.594687756618011,0.1696360159668495,0.0975070890146204,0.0837589585066582,Transport,1,720,1536,94320,True,5901210,50000
loop_seattle/5T/medium,TTM,77.86216862102242,77.86216862102242,5.094546677426496,5.094546677426496,0.8081732986650807,0.1714950352553733,0.1171031307804299,11.60726465047383,8.823954250845956,0.1569963124915259,0.090642473820083,0.0774842272883536,Transport,1,480,1536,95520,True,6009738,50000
loop_seattle/5T/short,TTM,42.337402585306975,42.337402585306975,3.518743016403572,3.518743016403572,0.5578499820149161,0.100639000131973,0.0748376311855928,7.370931736333671,6.506719802274183,0.1115758689247602,0.0603386685624512,0.0512422104462477,Transport,1,48,1536,104160,True,6623696,50000
loop_seattle/D/short,TTM,19.55483705039727,19.55483705039727,2.9701338773910475,2.9701338773910475,0.8986515774335462,0.0547562328931325,0.0548156698339821,13.47509331743076,4.422085147348168,0.0790285758403194,0.0530802647538481,0.045484379909896,Transport,1,30,90,305,True,10400,40311
loop_seattle/H/long,TTM,59.94969654966273,59.94969654966273,4.329157502346938,4.329157502346938,0.9041125930021258,0.1288173112929354,0.1012509716561975,15.007689207923113,7.742718937793282,0.1383727534451628,0.0773678404847611,0.0673313452421905,Transport,1,720,1536,7320,True,281010,50000
loop_seattle/H/medium,TTM,65.41648450841902,65.41648450841902,4.509739167301678,4.509739167301678,0.923027931109258,0.1207065108055209,0.1033637772908705,15.54335002721584,8.088045778086263,0.1429552876266784,0.0797091259707794,0.0695813841844502,Transport,1,480,1536,7800,True,343026,50000
loop_seattle/H/short,TTM,61.17475227680792,61.17475227680792,4.331291202146785,4.331291202146785,0.8765368514705689,0.1212845742564667,0.1003675946110766,14.70058350147883,7.821429043135782,0.138447262338499,0.0766682668884296,0.0669154357819431,Transport,1,48,1536,7848,True,401941,50000
m4_daily/D/short,TTM,500525.932557577,500525.932557577,183.63845336410236,183.63845336410236,3.3021415646450025,0.0437547718786537,0.0307762178551557,39.358854064123086,707.4785739212015,0.1092858935956797,0.028367067518655,0.0236183882479448,Econ/Fin,1,14,52,93,True,1930372,50000
m4_hourly/H/short,TTM,2203642.370204953,2203642.370204953,299.5032355710984,299.5032355710984,1.0285249674517116,0.1342407386672194,0.1236739116656917,10.931187826654586,1484.4670323738933,0.202662516140094,0.0408888025056861,0.0345370165685745,Econ/Fin,1,48,512,700,True,20854,50000
m4_monthly/M/short,TTM,1811822.76532497,1811822.76532497,559.5738262831657,559.5738262831657,0.9459661764045142,0.1625363202043201,0.1320072535425892,13.340170093056225,1346.0396596404469,0.2797532450042483,0.1162986488555431,0.100139085311179,Econ/Fin,1,18,90,42,True,1079231,50000
m4_quarterly/Q/short,TTM,1766018.6118972718,1766018.6118972718,558.0696902663708,558.0696902663708,1.1703985407478166,0.117594016696113,0.1008550175782274,14.437332864823702,1328.9163299084228,0.2224371964367004,0.0934110406542326,0.0793010071018279,Econ/Fin,1,8,52,16,True,184138,50000
m4_weekly/W/short,TTM,303324.578179548,303324.578179548,286.0836692615523,286.0836692615523,1.9451689201983928,0.0682534934279221,0.0700380197697396,19.34079759994533,550.7491063810708,0.1003379520369709,0.0521200110038215,0.0439194912940532,Econ/Fin,1,13,52,80,True,68212,50000
m4_yearly/A/short,TTM,3384000.521197124,3384000.521197124,868.4606953251434,868.4606953251434,3.248184285763506,0.1751104317305402,0.1442590056031276,46.029197446821016,1839.565307673833,0.2949828343976984,0.1392617029693568,0.1184634783883809,Econ/Fin,1,6,12,13,True,46324,22974
m_dense/D/short,TTM,9462.01117986406,9462.01117986406,48.88319931312844,48.88319931312844,0.7308909878732596,0.1316374955025459,0.1055929381077148,10.468297172395774,97.27286970098118,0.1683937259946441,0.0846240487833936,0.070599366408306,Transport,1,30,90,640,True,2976,11784
m_dense/H/long,TTM,38394.09074348282,38394.09074348282,88.38877565174191,88.38877565174191,0.7343058598768367,0.2949320313367448,0.2115885662407611,10.33381268583465,195.9441010683476,0.339208204754526,0.1530140368901424,0.1284081069475143,Transport,1,720,1536,15360,True,74340,50000
m_dense/H/medium,TTM,36730.02805231242,36730.02805231242,82.71570273076495,82.71570273076495,0.7093661857795744,0.280354330076024,0.2064712047822474,10.502620798489756,191.6507971606495,0.3334481745539553,0.1439148727328346,0.1216492005248433,Transport,1,480,1536,15600,True,78660,50000
m_dense/H/short,TTM,45223.88210982993,45223.88210982993,92.80494226222235,92.80494226222235,0.8089684686941805,0.2955884284166603,0.2259849119584681,13.537539987166856,212.6590748353569,0.3772042075129728,0.164612842063811,0.1413059972310579,Transport,1,48,1536,16560,True,89604,50000
restaurant/D/short,TTM,147.20829323158657,147.20829323158657,7.324924714070715,7.324924714070715,0.6993508872343396,0.6919500803799655,0.4008715963544431,5.59887868201049,12.132942480354323,0.5583861246911804,0.337110007021574,0.268645343232859,Sales,1,30,90,37,True,29958,50000
saugeen/D/short,TTM,1257.8865659218332,1257.8865659218332,13.48077788511912,13.48077788511912,2.995442968673398,0.3013468542838003,0.3431995426634633,61.60920920417827,35.46669657469995,1.1487747525418297,0.4366456077021913,0.406232631293201,Nature,1,30,512,23141,True,4515,18056
saugeen/M/short,TTM,429.7865415555531,429.7865415555531,12.87617880389804,12.87617880389804,0.7543076513874725,0.3741984776281304,0.3622322353597975,8.790606974752798,20.731293774281266,0.6224156324027447,0.3865815158676399,0.3402124650401258,Nature,1,12,52,696,True,559,63
saugeen/W/short,TTM,1245.2074313066437,1245.2074313066437,16.921667659282683,16.921667659282683,1.3726144196481544,0.4374534917861674,0.4473308849178943,23.441278446721725,35.28749681270469,1.0651824337388456,0.5107946090906951,0.4449652484734065,Nature,1,8,52,3231,True,633,2532
solar/10T/long,TTM,24.106624968459617,24.106624968459617,2.274907917091668,2.274907917091668,0.9967629971059592,3.5460661134909155,1.485266335289733,23.020251915976047,4.909849790824524,1.061185422003298,0.4916849233410376,0.4864949311521215,Energy,1,720,1536,46800,True,1200942,50000
solar/10T/medium,TTM,22.675328474634977,22.675328474634977,2.2626503737366037,2.2626503737366037,0.9964435246334038,3.682353443607661,1.4885704961514463,22.60604427028864,4.761861870595888,1.0566760397842505,0.5020910940529146,0.4969546540739344,Energy,1,480,1536,47280,True,1227246,50000
solar/10T/short,TTM,18.18986335016142,18.18986335016142,1.8882772505212824,1.8882772505212824,0.8242733388399077,4.529708666092756,1.5142377470106416,18.87999783416226,4.264957602387323,1.2406756617906909,0.5492996287052052,0.5438311696411915,Energy,1,48,1536,51600,True,1369287,50000
solar/D/short,TTM,121475.94234583798,121475.94234583798,251.80065037861937,251.80065037861937,0.983329700327178,1.0234806179544629,0.4315540953588807,11.463944549407964,348.5339902302758,0.5035129036806506,0.3637661753938215,0.3026790772642457,Energy,1,30,90,305,True,4411,17098
solar/H/long,TTM,1433.5521865927371,1433.5521865927371,18.379803093302552,18.379803093302552,1.404319556197409,14.791187645029792,1.4590804342398966,33.44613403317858,37.86227920493875,1.3127542220782806,0.637261269484091,0.6070426439351164,Energy,1,720,1536,7320,True,119190,50000
solar/H/medium,TTM,1260.3570832123844,1260.3570832123844,16.143869952156933,16.143869952156933,1.236835907212823,9.13455202018815,1.4466055377864244,29.262671234336963,35.501508182222125,1.2788471856492558,0.5815398756535652,0.5594317517836956,Energy,1,480,1536,7800,True,145494,50000
solar/H/short,TTM,679.2118448892412,679.2118448892412,11.452339916929382,11.452339916929382,0.8811319325347442,4.951693154709561,1.414137694441523,19.22833705136635,26.06169305492721,0.9606426417086568,0.4221370441420566,0.4086000223429751,Energy,1,48,1536,7848,True,170482,50000
solar/W/short,TTM,1483383.111319217,1483383.111319217,910.7644108124894,910.7644108124894,0.9964112954738998,0.2015942514264415,0.1797747707268696,25.29607551768195,1217.942162550922,0.2486124454334966,0.1859097864808697,0.1713271204395393,Energy,1,8,52,44,True,260,14
sz_taxi/15T/long,TTM,18.88971030578781,18.88971030578781,3.0695779671652987,3.0695779671652987,0.5878725560105701,5556432642002.792,0.5340047144612867,7.224979770669387,4.346229435474824,0.4022792545343039,0.2841146687487923,0.2386006786721174,Transport,1,720,1536,2256,True,296,16
sz_taxi/15T/medium,TTM,16.39882923135458,16.39882923135458,2.800987388962407,2.800987388962407,0.5453092252850363,9948193259524.152,0.4113589773337562,6.066163262310245,4.049546793328184,0.3768779221436963,0.2606786292337821,0.2149692499086918,Transport,1,480,1536,2496,True,296,16
sz_taxi/15T/short,TTM,17.048315920397886,17.048315920397886,2.8013623594872508,2.8013623594872508,0.5605156933694326,1067939522103.7512,0.406705093062238,5.079523694281257,4.128960634396734,0.3860754620075483,0.2619393505909786,0.2104809215725871,Transport,1,48,1536,2640,True,31636,50000
sz_taxi/H/short,TTM,7.379044825662702,7.379044825662702,1.8870738831103355,1.8870738831103355,0.5757605277865321,0.8716845870909969,0.3081890049577074,5.080901439170924,2.716439733486223,0.2530531240190062,0.1757925771328986,0.141545966002123,Transport,1,48,512,648,True,1435,5117
temperature_rain/D/short,TTM,194.50302871134244,194.50302871134244,6.079708987622277,6.079708987622277,1.412977798224388,41.86091627143595,1.51455887311814,34.38417093311251,13.946434265121049,1.6418634501735585,0.7157422309323213,0.656265216764425,Nature,1,30,90,635,True,3149470,50000
us_births/D/short,TTM,191350.36152520575,191350.36152520575,263.86083821614585,263.86083821614585,0.3884755896720457,0.0255366320330654,0.0250423825591462,4.80824721593255,437.43612279418096,0.0410060869225552,0.0247348124755587,0.0204127443656561,Healthcare,1,30,512,6705,True,1227,4908
us_births/M/short,TTM,38197364.474487305,38197364.474487305,4520.766927083333,4520.766927083333,0.5114597475856147,0.0142461788809181,0.0141813270286441,4.157953542877262,6180.401643460343,0.0191962853671417,0.0140414712533213,0.0114450665117938,Healthcare,1,12,52,216,True,127,15
us_births/W/short,TTM,2760538.0309273857,2760538.0309273857,1253.249302455357,1253.249302455357,1.1392721120886458,0.0168702937680205,0.0169479904286968,13.192386624515793,1661.4866929733098,0.0225545189409892,0.0170127363941909,0.0142611268547496,Healthcare,1,8,52,931,True,778,87
